dataset,method,calibration,model,drop_out,reward,run,ece_l1,ece_l2,mce,ece_l1_bound,ece_l2_bound
ood_nsncs_isun,KPCA_RecError_global,Isotonic,modelvit,do1,rew0,2,0.24440733061826608,0.09430158281543229,0.5019448123782239,0.324359743288573,0.4470537482652642
ood_nsncs_textures,KPCA_RecError_global,Isotonic,modelvit,do1,rew0,2,0.122535757600103,0.04466918362473575,0.49338506411026983,0.19288209071194945,0.30544684060341215
ood_nsncs_places365,KPCA_RecError_global,Isotonic,modelvit,do1,rew0,2,0.26956714923663316,0.11379209146791902,0.5186318058058831,0.3448281022037011,0.4598253552314248
val,KPCA_RecError_global,Beta,modelvit,do1,rew0,2,0.026940083520821063,0.0031924644896558956,0.9818332491442592,0.13728297920560942,0.26192691015400194
iid_test,KPCA_RecError_global,Beta,modelvit,do1,rew0,2,0.013928704914029286,0.003162132736041069,0.8120841617529698,0.1406671859535859,0.26393377029280823
ood_sncs_c10,KPCA_RecError_global,Beta,modelvit,do1,rew0,2,0.35511100239446824,0.1777328148570481,0.6049891728516713,0.4285340400689428,0.5454714075632655
ood_nsncs_svhn,KPCA_RecError_global,Beta,modelvit,do1,rew0,2,0.1931575316831555,0.06736744427046697,0.518260386775973,0.23365610863939737,0.3320501998806546
ood_nsncs_ti,KPCA_RecError_global,Beta,modelvit,do1,rew0,2,0.29555972936474156,0.12501984917594716,0.5389471831485101,0.371646619962133,0.4873986535164687
ood_nsncs_lsun_cropped,KPCA_RecError_global,Beta,modelvit,do1,rew0,2,0.21192704731345488,0.08688333899584273,0.5129987409863871,0.2875724921892813,0.3964501250321746
ood_nsncs_lsun_resize,KPCA_RecError_global,Beta,modelvit,do1,rew0,2,0.2821806477556065,0.12019626998723025,0.5326587169216199,0.35826753835299796,0.4723387433115432
ood_nsncs_isun,KPCA_RecError_global,Beta,modelvit,do1,rew0,2,0.2512401392173523,0.09921257781390255,0.5151537636434689,0.33209104821188823,0.4496704128703452
ood_nsncs_textures,KPCA_RecError_global,Beta,modelvit,do1,rew0,2,0.13262387542463827,0.04310320694209492,0.4512437735982414,0.20060153325750535,0.2990549985789815
